years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted
7,76.6,Bachelors,10,556,268,Yes
0,56.6,Masters,1,372,21,No
14,79.8,PhD,12,603,482,Yes
11,90.4,Bachelors,14,750,350,Yes
7,74.2,Bachelors,7,564,325,No
7,100.0,Masters,9,532,268,Yes
15,100.0,PhD,14,749,493,Yes
1,58.8,Masters,5,414,107,No
3,61.9,Bachelors,4,443,116,No
5,49.9,Bachelors,9,581,321,Yes
11,98.0,Bachelors,8,556,358,Yes
10,86.0,Masters,17,582,401,Yes
8,82.2,Masters,10,782,378,Yes
14,73.3,Masters,22,506,681,Yes
15,99.2,Bachelors,12,836,487,Yes
7,65.0,PhD,12,386,401,Yes
11,74.9,Masters,14,647,390,Yes
14,94.9,PhD,19,761,666,Yes
7,66.5,Masters,6,694,257,No
6,61.4,Masters,9,369,274,No
13,86.5,Masters,13,717,396,Yes
12,96.7,Bachelors,19,742,602,Yes
8,94.4,PhD,6,590,196,Yes
14,91.6,High School,15,809,500,Yes
1,70.5,Masters,6,479,64,No
2,61.9,PhD,12,237,169,No
9,92.3,Bachelors,12,684,418,Yes
7,49.2,Masters,13,776,412,Yes
13,93.8,Masters,12,547,502,Yes
5,83.9,Masters,17,403,476,Yes
9,77.9,Masters,14,545,350,Yes
8,66.4,Masters,15,674,475,Yes
9,78.7,Masters,8,584,384,Yes
3,52.1,Bachelors,9,491,125,Yes
15,95.2,Bachelors,15,874,425,Yes
7,85.7,Bachelors,5,448,105,Yes
9,86.0,Masters,14,639,346,Yes
2,67.3,Bachelors,7,259,72,No
2,76.7,Masters,13,429,261,Yes
7,84.6,Bachelors,7,714,331,Yes
4,57.6,Masters,7,382,233,No
2,33.9,High School,4,321,138,No
9,83.4,Masters,7,671,334,Yes
10,95.1,Masters,12,784,284,Yes
15,71.3,PhD,19,719,521,Yes
0,62.3,Masters,6,531,189,No
14,100.0,Masters,18,900,527,Yes
2,67.3,PhD,9,428,238,Yes
11,100.0,Masters,16,679,454,Yes
8,93.5,Bachelors,13,606,297,Yes
4,66.5,Masters,7,670,213,Yes
11,77.7,Masters,18,719,618,Yes
9,70.3,Bachelors,20,641,621,Yes
14,91.3,Masters,19,833,634,Yes
1,45.6,Masters,9,386,216,No
6,56.6,PhD,12,387,286,Yes
14,58.9,PhD,25,791,666,Yes
1,59.2,Bachelors,6,342,116,No
3,94.1,Bachelors,5,535,208,Yes
11,49.6,Bachelors,14,806,426,No
6,66.7,Bachelors,6,383,167,Yes
3,64.0,Masters,10,517,254,Yes
6,67.2,Bachelors,14,399,320,Yes
15,100.0,Masters,18,667,579,Yes
6,59.9,Masters,10,653,271,Yes
15,62.1,Masters,20,697,626,Yes
0,49.5,Bachelors,2,507,95,No
5,57.5,Bachelors,17,515,449,Yes
8,40.0,Bachelors,10,394,237,No
1,63.2,Bachelors,5,400,140,No
13,73.2,PhD,14,753,533,Yes
2,64.0,Masters,3,463,151,Yes
9,70.1,Bachelors,15,579,314,Yes
4,53.1,Masters,11,514,333,Yes
8,86.9,Bachelors,11,438,317,Yes
3,63.0,Masters,4,211,53,No
0,58.3,Bachelors,8,159,183,No
3,76.0,Masters,7,363,220,No
5,71.8,Bachelors,7,376,157,No
4,67.7,Bachelors,7,334,293,No
13,71.1,Bachelors,17,694,482,Yes
12,64.8,Bachelors,12,672,388,Yes
0,63.6,Masters,4,263,125,No
3,44.6,High School,4,470,120,No
5,83.2,Masters,5,532,182,Yes
12,83.3,Masters,11,534,321,Yes
14,99.0,Masters,11,870,403,Yes
9,64.5,Masters,12,473,287,Yes
9,58.4,Bachelors,12,340,373,Yes
13,100.0,Masters,14,720,536,Yes
3,68.8,PhD,10,413,363,Yes
14,100.0,Masters,15,848,473,Yes
13,66.1,Masters,18,875,561,Yes
8,73.0,Masters,12,547,360,Yes
4,85.0,Bachelors,6,305,213,Yes
7,51.8,Masters,17,422,486,Yes
8,100.0,PhD,7,437,185,Yes
9,74.0,High School,15,488,562,Yes
4,57.0,Masters,5,619,93,No
5,72.8,Bachelors,8,641,174,Yes
0,74.1,Bachelors,7,261,163,No
10,68.9,Masters,18,685,482,Yes
15,81.0,Masters,12,896,487,Yes
11,87.0,Masters,8,532,326,Yes
14,99.9,PhD,18,735,751,Yes
6,66.5,Bachelors,9,570,335,Yes
3,73.3,Masters,5,523,238,No
10,90.3,Bachelors,14,517,453,Yes
1,62.1,Bachelors,2,500,121,No
4,55.1,Bachelors,8,330,268,No
11,82.9,Masters,18,611,557,Yes
2,87.8,Bachelors,5,491,178,No
5,76.2,Masters,5,343,117,Yes
7,93.9,Masters,11,319,335,Yes
6,57.3,High School,5,599,214,No
15,95.2,Masters,15,845,437,Yes
2,73.4,Bachelors,10,371,325,Yes
7,94.0,Bachelors,7,474,222,Yes
1,81.7,Masters,8,438,170,No
9,58.7,Bachelors,15,900,474,Yes
8,94.5,Masters,13,713,400,Yes
3,92.5,Masters,5,551,189,Yes
0,52.6,Masters,2,387,112,No
7,61.8,Masters,13,383,442,Yes
6,64.6,High School,7,438,115,No
10,75.7,High School,10,671,348,Yes
12,71.7,High School,14,686,429,Yes
15,69.7,Bachelors,17,900,560,Yes
4,87.6,Bachelors,2,554,29,No
9,70.1,PhD,11,794,353,Yes
12,73.9,Bachelors,12,583,545,Yes
4,70.9,Masters,6,753,192,No
6,47.4,Bachelors,7,487,281,Yes
4,42.3,Bachelors,6,655,216,No
7,65.0,Bachelors,17,470,429,Yes
10,93.6,Masters,12,716,252,Yes
12,84.3,Bachelors,15,900,554,Yes
5,36.6,Bachelors,9,382,139,No
12,100.0,Masters,20,823,575,Yes
4,81.2,Masters,9,551,191,Yes
8,71.9,High School,9,566,245,Yes
10,83.7,Masters,19,748,483,Yes
15,100.0,Masters,16,786,465,Yes
1,98.1,Masters,4,485,140,No
0,70.7,Bachelors,9,379,118,No
7,75.9,Bachelors,12,607,342,Yes
11,61.1,Bachelors,19,719,572,Yes
2,71.5,PhD,8,260,183,Yes
13,95.1,Bachelors,12,613,357,Yes
10,83.3,PhD,15,523,412,Yes
11,71.7,Bachelors,13,536,467,Yes
11,87.8,Bachelors,11,630,406,Yes
11,64.7,Bachelors,15,463,547,Yes
6,78.0,High School,10,556,305,No
9,76.5,PhD,15,519,425,Yes
12,53.4,Masters,16,746,618,Yes
10,74.4,Masters,16,672,611,Yes
7,74.4,Masters,6,451,279,Yes
14,97.5,Masters,10,794,398,Yes
15,100.0,PhD,21,709,632,Yes
12,62.1,Bachelors,19,900,684,Yes
12,87.1,Masters,13,572,424,Yes
5,63.2,Masters,8,584,309,Yes
11,81.6,PhD,13,776,457,Yes
9,64.3,Masters,10,713,348,Yes
13,90.2,PhD,13,900,380,Yes
8,100.0,Masters,12,608,382,Yes
6,97.3,Bachelors,4,536,174,Yes
14,70.5,Bachelors,13,854,507,Yes
9,80.2,Masters,16,900,469,Yes
4,64.5,Masters,11,635,295,No
7,69.1,High School,7,514,239,Yes
14,99.2,Bachelors,11,900,451,Yes
1,57.6,Bachelors,6,394,49,No
6,62.6,Masters,5,559,143,Yes
14,100.0,Bachelors,14,900,449,Yes
3,48.7,Masters,9,442,247,Yes
8,76.3,Bachelors,11,513,344,Yes
11,57.2,Bachelors,13,760,424,Yes
0,49.6,PhD,11,539,110,No
6,80.7,Bachelors,8,460,230,Yes
5,52.8,High School,7,590,301,No
7,38.9,High School,7,517,209,No
4,54.7,Bachelors,8,397,208,No
14,76.8,Masters,12,690,474,Yes
0,38.6,Bachelors,5,468,106,No
0,69.5,Masters,5,421,135,No
8,45.8,High School,9,671,295,No
14,80.4,Masters,13,883,454,Yes
9,81.3,Masters,12,502,303,Yes
5,69.9,PhD,9,416,378,Yes
9,76.9,PhD,12,476,385,Yes
4,54.7,Bachelors,5,628,153,No
14,67.2,Bachelors,13,869,354,Yes
0,51.7,Masters,1,222,80,No
5,77.4,Bachelors,10,515,266,No
5,61.0,Bachelors,6,504,273,No
2,64.0,Bachelors,2,523,12,No
12,98.3,Bachelors,12,544,426,Yes
15,100.0,Masters,15,866,559,Yes
7,52.4,Bachelors,8,584,257,No
13,85.7,High School,16,633,431,Yes
14,100.0,Masters,19,900,548,Yes
0,44.3,High School,3,379,0,No
0,41.2,PhD,9,351,201,No
5,60.9,Bachelors,10,587,240,No
9,82.1,Masters,13,709,297,Yes
12,90.4,Bachelors,8,608,286,Yes
0,45.2,High School,4,426,116,No
5,37.0,Bachelors,7,683,137,No
0,38.4,Bachelors,5,440,130,No
15,96.6,Masters,20,892,570,Yes
13,100.0,Masters,15,665,486,Yes
12,76.7,High School,12,664,467,Yes
5,87.2,Bachelors,6,408,172,Yes
2,45.6,Bachelors,7,679,116,No
13,73.8,Bachelors,10,822,445,Yes
13,48.4,Bachelors,11,856,342,No
14,98.5,PhD,14,850,484,Yes
7,58.1,Bachelors,10,613,397,Yes
12,94.2,Masters,12,654,400,Yes
14,81.7,Masters,16,900,499,Yes
5,100.0,Masters,10,455,265,Yes
12,100.0,Bachelors,11,624,314,Yes
10,46.7,Masters,9,599,341,Yes
12,94.1,Masters,13,651,421,Yes
0,46.4,Bachelors,2,150,68,No
14,95.2,Bachelors,9,810,422,Yes
4,52.8,PhD,4,398,71,No
7,96.9,Masters,8,593,300,Yes
2,77.0,Bachelors,2,647,116,No
11,62.0,Masters,23,277,606,Yes
5,64.8,Bachelors,10,360,234,No
4,67.9,Bachelors,8,521,383,Yes
5,78.3,Bachelors,9,583,228,Yes
9,75.3,Bachelors,10,467,372,Yes
0,73.0,Masters,6,172,174,No
6,72.2,Masters,9,486,237,Yes
8,86.4,Masters,13,489,310,Yes
1,39.0,Bachelors,2,287,213,No
9,78.9,Masters,17,459,415,Yes
14,100.0,Bachelors,17,895,529,Yes
4,86.7,Bachelors,11,556,242,Yes
9,85.6,PhD,16,524,462,Yes
3,62.0,Bachelors,8,460,231,No
5,88.0,Bachelors,13,581,395,Yes
5,66.0,Bachelors,11,457,314,Yes
10,94.7,Bachelors,11,659,408,Yes
15,89.7,Masters,11,848,404,Yes
1,67.6,PhD,7,306,139,No
1,46.7,Masters,8,527,168,Yes
3,48.5,Masters,5,575,148,No
0,75.9,Masters,2,513,0,No
8,100.0,Masters,12,518,388,Yes
13,80.6,High School,17,853,565,Yes
13,88.5,PhD,17,629,600,Yes
12,96.8,Bachelors,14,631,474,Yes
6,82.1,PhD,5,460,234,Yes
15,47.0,High School,15,790,556,Yes
11,98.2,Masters,14,662,545,Yes
6,53.2,Masters,12,565,257,Yes
14,92.8,PhD,13,770,428,Yes
2,58.6,Masters,10,365,254,Yes
14,75.9,Bachelors,11,808,427,Yes
10,82.0,Masters,14,649,375,Yes
14,98.9,Bachelors,18,900,547,Yes
11,80.0,Bachelors,18,570,511,Yes
2,82.6,Bachelors,4,346,84,No
0,80.5,Bachelors,4,384,85,No
2,84.4,Bachelors,4,435,109,No
2,68.2,PhD,3,222,123,No
3,63.8,PhD,9,456,305,Yes
3,58.5,High School,5,449,188,No
2,73.9,High School,6,207,166,No
15,100.0,Bachelors,22,586,665,Yes
9,36.6,Bachelors,10,584,347,No
15,87.6,High School,12,794,419,Yes
11,44.0,Bachelors,13,812,394,Yes
7,75.0,Masters,15,640,391,Yes
7,67.3,Masters,12,759,376,Yes
12,68.9,Bachelors,9,610,358,Yes
12,94.2,Bachelors,16,607,511,Yes
0,51.5,Masters,7,487,23,No
6,73.1,Masters,12,663,308,Yes
10,63.5,Bachelors,10,713,388,Yes
1,56.1,High School,6,389,89,No
0,71.9,Bachelors,7,340,168,No
2,48.3,Bachelors,4,574,202,No
15,97.1,Bachelors,17,867,528,Yes
3,64.3,Bachelors,4,496,175,No
12,82.2,Bachelors,13,900,518,Yes
5,62.2,Bachelors,15,604,473,Yes
9,90.9,Masters,16,536,429,Yes
15,93.1,High School,8,767,348,Yes
13,85.2,Masters,16,771,478,Yes
4,68.5,Bachelors,3,496,128,No
15,94.1,High School,17,804,742,Yes
14,97.4,Masters,11,843,376,Yes
14,84.7,Masters,16,691,586,Yes
13,96.5,High School,18,580,556,Yes
3,80.2,Masters,6,397,294,No
7,100.0,Masters,20,454,553,Yes
10,54.0,Bachelors,14,755,475,Yes
15,98.0,Bachelors,12,874,398,Yes
11,100.0,Masters,12,583,359,Yes
15,100.0,Bachelors,8,900,344,Yes
13,79.7,Bachelors,18,692,543,Yes
3,43.1,Bachelors,9,547,288,No
12,100.0,Masters,12,625,377,Yes
9,75.8,PhD,10,509,313,Yes
11,78.8,Masters,12,745,455,Yes
15,100.0,Masters,15,855,447,Yes
12,69.9,PhD,17,900,379,Yes
1,75.5,Masters,4,551,54,No
14,77.9,Masters,22,732,586,Yes
2,57.4,PhD,4,301,140,No
5,65.5,High School,3,670,144,No
7,85.4,Masters,10,646,255,Yes
7,89.5,Masters,7,616,317,Yes
14,100.0,PhD,15,690,464,Yes
10,70.7,Masters,15,628,453,Yes
14,72.1,Masters,14,900,459,Yes
8,75.9,PhD,13,609,360,Yes
6,74.7,Bachelors,9,419,160,Yes
12,73.9,High School,10,900,405,Yes
1,0.5,High School,9,180,162,No
7,44.1,Bachelors,11,477,343,Yes
6,65.9,Bachelors,6,544,139,No
7,84.3,Bachelors,13,425,289,Yes
11,65.9,Bachelors,7,540,315,Yes
2,80.0,PhD,9,521,258,Yes
6,47.1,Bachelors,7,439,289,Yes
9,83.1,Masters,7,609,330,Yes
12,92.9,PhD,12,827,318,Yes
8,80.5,Bachelors,19,600,426,Yes
15,72.4,Bachelors,13,768,355,Yes
2,42.0,Masters,7,401,222,No
13,98.1,Masters,18,648,559,Yes
9,52.6,Bachelors,17,530,535,Yes
5,55.9,Bachelors,9,466,337,Yes
1,80.4,Bachelors,8,275,159,No
1,62.0,Bachelors,7,478,61,No
4,71.0,Bachelors,8,725,275,Yes
4,74.9,Bachelors,7,230,118,No
12,94.1,Masters,10,620,368,Yes
6,76.7,PhD,8,416,331,Yes
11,69.7,Masters,6,579,269,Yes
1,100.0,PhD,13,463,195,Yes
10,76.9,Masters,12,603,297,Yes
13,92.2,Masters,10,647,528,Yes
12,88.1,Bachelors,14,791,466,Yes
6,61.5,Bachelors,8,792,246,Yes
4,62.9,Masters,8,497,199,No
13,100.0,PhD,15,645,512,Yes
5,56.4,Bachelors,9,454,203,No
7,73.2,High School,4,616,95,No
9,92.7,Masters,19,637,652,Yes
12,78.3,Bachelors,15,828,456,Yes
13,77.6,High School,15,726,542,Yes
11,97.6,Masters,20,518,593,Yes
3,61.4,Bachelors,3,609,208,No
12,54.1,Masters,17,538,591,Yes
6,99.6,PhD,13,629,399,Yes
5,52.9,Bachelors,9,555,215,No
15,90.7,Bachelors,17,900,612,Yes
9,55.7,Bachelors,11,571,422,Yes
1,51.8,Bachelors,4,531,145,No
14,82.7,Masters,15,880,568,Yes
7,74.1,Bachelors,8,515,292,Yes
9,62.3,Bachelors,7,658,344,Yes
15,100.0,High School,9,900,438,Yes
8,73.9,Bachelors,8,408,280,Yes
4,78.7,Bachelors,9,631,201,Yes
9,79.1,Masters,11,592,251,Yes
3,78.5,Bachelors,9,412,218,Yes
5,36.0,Bachelors,9,602,304,No
15,76.9,Bachelors,9,838,301,Yes
7,71.2,PhD,19,548,485,Yes
10,69.6,Bachelors,8,540,242,Yes
14,97.0,Masters,22,703,768,Yes
2,74.1,Masters,11,462,269,Yes
9,78.1,Masters,13,735,495,Yes
10,76.8,Bachelors,11,585,518,Yes
10,100.0,PhD,14,652,447,Yes
0,66.1,Masters,3,239,0,No
15,57.9,Masters,16,865,631,Yes
3,75.1,Bachelors,7,439,212,Yes
14,97.6,Masters,18,900,626,Yes
3,84.6,Masters,6,443,154,Yes
0,66.5,Bachelors,3,509,69,No
8,59.9,Bachelors,13,622,423,Yes
2,78.6,Masters,2,459,61,No
4,62.5,High School,11,623,271,No
15,100.0,Masters,20,860,639,Yes
5,86.2,High School,4,506,165,Yes
7,69.7,Bachelors,9,588,277,Yes
5,84.4,Masters,7,460,166,No
2,72.5,High School,7,498,161,No
5,77.4,PhD,7,595,126,Yes
0,90.6,Masters,3,252,26,No
3,82.9,Masters,9,419,233,No
5,62.5,Masters,10,397,262,Yes
15,95.2,Masters,19,819,634,Yes
6,82.4,Bachelors,9,276,266,Yes
10,100.0,Masters,18,356,524,Yes
12,90.8,Bachelors,19,748,614,Yes
10,81.8,Bachelors,10,587,368,Yes
9,98.2,Masters,8,878,272,Yes
2,62.0,Masters,6,540,205,No
8,54.2,High School,10,698,389,Yes
11,90.1,Bachelors,17,661,409,Yes
11,77.6,Masters,11,535,340,Yes
6,100.0,Bachelors,12,389,254,Yes
13,91.0,Masters,25,783,661,Yes
0,71.9,Masters,5,495,55,No
1,50.1,Bachelors,4,458,145,No
0,76.5,Bachelors,6,317,36,No
10,80.8,Masters,12,778,315,Yes
8,71.6,Bachelors,9,500,350,Yes
8,72.0,Bachelors,5,424,231,Yes
6,50.1,Bachelors,11,755,336,Yes
9,71.7,Bachelors,13,761,387,Yes
2,69.7,Bachelors,4,443,192,No
12,58.3,Bachelors,16,814,601,Yes
14,100.0,Masters,13,804,457,Yes
4,65.2,Masters,7,556,258,No
14,92.9,Masters,20,865,654,Yes
3,30.0,Bachelors,2,278,77,No
15,90.9,Bachelors,13,900,472,Yes
6,57.6,Masters,12,790,318,Yes
13,82.0,Masters,8,632,241,Yes
8,53.7,Masters,18,557,445,Yes
11,70.0,Masters,18,741,485,Yes
1,60.8,Masters,7,241,128,No
12,72.9,High School,13,805,459,Yes
7,88.5,Masters,14,586,358,Yes
15,63.2,Masters,10,791,630,Yes
14,92.2,PhD,21,475,572,Yes
8,75.8,Masters,18,554,425,Yes
9,72.4,Masters,14,581,545,Yes
13,69.8,Bachelors,12,752,465,Yes
9,95.8,Masters,13,474,300,Yes
8,100.0,PhD,11,658,265,Yes
13,61.5,Masters,16,711,545,Yes
9,65.4,Masters,12,690,340,Yes
13,63.9,High School,13,743,490,Yes
6,69.0,Masters,17,772,472,Yes
14,100.0,Masters,11,672,380,Yes
8,85.2,Masters,17,770,444,Yes
8,71.2,Bachelors,6,527,311,Yes
13,87.5,Masters,9,589,358,Yes
2,56.7,Bachelors,7,554,81,No
3,78.3,Masters,10,508,228,Yes
15,100.0,Bachelors,18,705,504,Yes
1,72.1,Masters,10,530,134,No
9,42.6,Bachelors,14,600,486,Yes
2,57.2,High School,8,496,149,No
10,78.5,Masters,12,704,398,Yes
10,92.4,Bachelors,7,900,263,No
4,72.8,Masters,8,450,211,Yes
4,81.4,PhD,6,574,216,Yes
5,67.6,PhD,17,537,441,Yes
12,95.6,Bachelors,14,705,417,Yes
6,91.8,Masters,11,569,269,Yes
6,45.1,Bachelors,7,544,271,No
0,45.6,PhD,10,399,217,No
15,100.0,Masters,19,809,672,Yes
13,76.4,High School,18,848,568,Yes
15,100.0,Bachelors,14,900,383,Yes
1,63.1,Bachelors,6,470,186,No
11,93.6,Masters,22,687,523,Yes
8,62.3,Bachelors,9,712,293,Yes
9,84.3,Masters,11,657,375,Yes
1,68.4,Masters,9,391,267,Yes
5,64.7,PhD,11,429,278,No
10,100.0,PhD,19,485,533,Yes
10,49.1,Bachelors,8,645,248,Yes
15,94.4,Masters,12,698,459,Yes
0,41.8,Masters,5,424,77,No
2,49.9,Masters,6,498,90,No
1,69.8,High School,4,383,92,No
2,45.0,Bachelors,8,418,154,No
4,48.4,Bachelors,11,584,294,No
10,86.2,Bachelors,14,671,364,Yes
9,58.8,Bachelors,11,637,416,Yes
15,100.0,Bachelors,16,891,431,Yes
5,80.9,Masters,12,481,386,Yes
8,61.8,Bachelors,9,508,261,Yes
11,98.0,Masters,16,710,574,Yes
10,43.9,High School,8,646,249,No
14,96.3,Masters,13,849,502,Yes
14,74.3,PhD,22,900,637,Yes
15,83.4,Masters,16,766,535,Yes
9,72.4,Masters,6,613,185,Yes
11,98.7,Bachelors,10,551,361,Yes
11,75.7,Masters,13,834,586,Yes
12,80.3,Bachelors,12,781,398,Yes
3,56.9,Bachelors,1,389,0,No
6,54.8,Bachelors,14,605,244,Yes
5,55.8,Masters,12,402,369,Yes
1,64.1,Bachelors,5,186,0,No
9,78.9,Masters,12,538,264,Yes
10,88.9,Bachelors,8,900,370,Yes
10,77.6,Masters,13,525,427,Yes
10,78.1,Masters,11,552,416,Yes
14,97.0,Bachelors,21,900,590,Yes
14,79.9,Bachelors,19,807,665,Yes
7,53.7,Masters,9,871,212,No
6,82.2,Bachelors,8,509,199,Yes
14,75.3,Bachelors,16,853,498,Yes
14,90.3,Masters,16,888,431,Yes
6,60.1,Bachelors,9,515,293,Yes
13,68.9,Bachelors,12,860,506,Yes
14,57.0,Bachelors,18,809,548,Yes
7,76.6,Bachelors,14,365,385,Yes
11,28.6,Bachelors,12,814,472,No
11,94.5,High School,9,683,295,Yes
12,97.0,Bachelors,9,803,335,Yes
13,69.9,Bachelors,11,900,373,Yes
10,100.0,PhD,18,686,537,Yes
0,92.2,Masters,4,332,16,Yes
14,85.2,Masters,15,788,532,Yes
12,83.2,High School,12,534,536,Yes
0,59.5,Bachelors,6,332,86,No
7,98.0,Masters,11,580,367,Yes
3,46.4,Masters,6,441,134,No
4,62.1,Bachelors,7,245,153,No
7,85.3,Bachelors,10,426,316,Yes
4,77.7,Bachelors,13,532,309,Yes
9,78.6,Masters,12,489,316,Yes
15,100.0,High School,18,844,646,Yes
3,70.8,Masters,14,150,402,Yes
11,85.0,Masters,15,747,499,Yes
5,85.5,PhD,11,293,314,Yes
12,84.3,Masters,16,748,433,Yes
14,86.3,Bachelors,15,854,507,Yes
11,71.4,Masters,12,785,298,Yes
4,100.0,Masters,9,463,183,Yes
13,80.1,Masters,25,738,669,Yes
6,84.2,Masters,12,233,332,Yes
15,100.0,PhD,15,615,576,Yes
13,58.9,High School,12,620,482,Yes
9,84.7,Bachelors,5,558,213,Yes
6,73.6,Masters,10,429,352,Yes
12,100.0,Bachelors,12,755,460,Yes
3,45.4,High School,6,506,231,No
11,68.2,Bachelors,12,694,447,Yes
12,84.5,Masters,14,900,411,Yes
4,58.1,Bachelors,8,583,297,No
12,78.4,Masters,16,640,415,Yes
2,87.4,High School,4,229,62,No
14,87.4,Bachelors,12,756,437,Yes
3,51.7,Bachelors,8,629,286,Yes
14,75.1,High School,15,798,497,Yes
13,93.3,Masters,16,638,486,Yes
3,72.3,Masters,4,662,65,No
2,56.6,Masters,3,473,164,No
12,57.1,Bachelors,10,813,417,Yes
9,74.7,Bachelors,11,334,314,Yes
4,64.3,Bachelors,7,667,81,No
15,77.8,Bachelors,19,859,549,Yes
4,84.7,Bachelors,11,477,141,Yes
10,89.9,Masters,12,628,392,Yes
6,67.0,High School,9,542,227,No
3,58.1,Bachelors,12,313,324,No
12,100.0,PhD,19,748,447,Yes
3,46.2,Bachelors,6,224,117,No
8,73.6,PhD,17,868,442,Yes
5,68.2,PhD,8,342,135,No
14,90.0,Bachelors,21,864,666,Yes
3,73.4,Bachelors,6,505,121,No
1,43.2,Masters,5,321,126,No
5,57.2,Bachelors,10,496,189,Yes
15,94.2,Bachelors,14,805,535,Yes
15,81.3,Masters,22,817,774,Yes
1,53.5,Bachelors,3,386,26,No
4,68.1,Bachelors,6,612,135,No
5,56.6,Masters,9,241,300,No
3,71.4,Masters,9,600,262,No
13,92.7,Bachelors,18,565,446,Yes
12,82.1,Bachelors,12,854,402,Yes
2,82.9,Bachelors,7,394,114,No
6,80.4,Bachelors,13,815,329,Yes
1,62.6,Masters,5,515,80,No
12,80.4,Masters,9,680,327,Yes
10,100.0,Masters,11,792,359,Yes
13,69.1,High School,11,763,522,Yes
5,63.4,Bachelors,8,418,206,Yes
12,75.4,Bachelors,17,825,476,Yes
3,69.5,Bachelors,7,416,269,Yes
5,100.0,Bachelors,6,666,185,Yes
3,67.2,Bachelors,6,311,243,No
3,54.2,High School,5,454,123,No
14,92.1,Masters,18,760,615,Yes
3,47.6,Masters,15,435,358,No
8,74.4,Masters,13,662,461,Yes
6,90.6,High School,5,759,186,Yes
2,75.2,Masters,9,495,257,Yes
2,87.5,PhD,12,619,310,Yes
5,82.7,Bachelors,11,643,211,Yes
5,60.6,Masters,4,445,151,No
3,95.9,Masters,7,367,178,Yes
14,58.9,Bachelors,21,758,654,Yes
14,90.5,Bachelors,10,778,468,Yes
8,42.6,Bachelors,10,694,235,Yes
3,37.8,Bachelors,8,503,282,No
8,87.5,Bachelors,10,480,353,Yes
15,84.6,PhD,16,858,508,Yes
3,85.9,Masters,5,409,184,Yes
1,26.9,Bachelors,7,261,52,No
1,61.9,Masters,7,398,102,No
4,51.0,Masters,9,639,184,No
3,58.6,Bachelors,9,690,200,No
6,92.7,Bachelors,14,424,391,Yes
13,100.0,PhD,14,730,493,Yes
10,88.9,Masters,15,747,561,Yes
4,41.6,Bachelors,5,441,106,No
5,49.4,Bachelors,5,448,244,No
9,77.9,Bachelors,10,627,393,Yes
3,51.4,Bachelors,14,540,331,Yes
12,91.4,Bachelors,10,632,332,Yes
11,100.0,Masters,15,561,420,Yes
1,40.3,High School,4,420,205,No
12,68.1,Bachelors,9,706,374,Yes
9,57.8,Bachelors,11,459,453,Yes
8,65.2,High School,8,553,326,No
9,80.0,Masters,13,573,349,Yes
14,85.8,Bachelors,14,900,561,Yes
6,86.7,Masters,8,629,172,Yes
3,69.4,Bachelors,8,527,201,No
2,60.6,Bachelors,5,515,145,No
9,79.9,Masters,7,496,339,Yes
13,84.8,Bachelors,21,900,570,Yes
14,88.4,Masters,15,762,578,Yes
15,77.3,Bachelors,20,754,583,Yes
2,47.2,Masters,3,322,234,No
8,79.4,Masters,9,879,139,No
4,61.8,Masters,12,398,290,Yes
12,93.1,Masters,13,546,379,Yes
14,90.3,Masters,9,745,333,Yes
2,69.2,PhD,5,445,183,Yes
14,100.0,Bachelors,14,775,484,Yes
4,48.2,Masters,7,451,229,No
15,100.0,High School,25,784,687,Yes
1,26.7,Bachelors,3,238,47,No
10,99.3,Bachelors,13,539,443,Yes
3,70.3,Masters,11,586,232,Yes
9,67.6,Bachelors,14,708,429,Yes
1,41.2,Masters,6,206,179,No
1,46.0,High School,3,274,131,No
11,77.0,Bachelors,11,537,245,Yes
7,81.9,PhD,13,608,402,Yes
0,79.2,Bachelors,5,490,133,No
15,84.1,High School,11,707,446,Yes
15,92.3,Bachelors,25,853,641,Yes
15,96.5,Masters,22,719,685,Yes
13,78.6,Bachelors,12,651,465,Yes
6,66.6,Bachelors,15,480,419,Yes
4,67.6,Masters,5,553,196,No
14,94.9,Bachelors,6,753,401,Yes
10,67.6,Masters,15,658,330,Yes
7,63.9,Bachelors,7,570,241,Yes
0,62.8,Bachelors,5,306,71,No
10,65.1,Masters,10,816,302,No
6,75.0,Masters,12,641,391,Yes
4,61.1,Masters,10,494,237,Yes
3,74.8,Masters,6,478,171,No
6,90.1,Bachelors,9,561,277,Yes
9,67.3,Bachelors,11,659,407,Yes
14,96.9,Bachelors,11,900,402,Yes
1,66.3,Masters,6,379,224,No
11,77.5,Masters,15,816,533,Yes
14,93.1,PhD,11,900,430,Yes
0,72.5,High School,3,405,47,No
0,54.9,Bachelors,4,467,126,No
10,100.0,Masters,18,545,402,Yes
11,81.5,Masters,15,716,536,Yes
15,70.1,Masters,17,663,564,Yes
0,59.0,Masters,7,422,191,No
14,63.1,Bachelors,19,817,522,Yes
11,74.7,Bachelors,17,822,570,Yes
4,60.2,Bachelors,8,351,242,No
9,98.3,High School,8,485,350,Yes
6,93.6,Bachelors,6,434,192,Yes
1,56.3,High School,10,467,231,No
9,93.7,Bachelors,12,602,452,Yes
7,69.3,Masters,13,638,376,Yes
3,45.8,Masters,10,389,170,No
11,91.2,Masters,14,593,403,Yes
2,66.9,Bachelors,4,395,70,No
9,61.4,Bachelors,10,758,376,Yes
